,Unnamed: 0,id,title,tags
18,18,41154,Men in Black 3,"action comedi sciencefict timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori agentj agentk youngagentk griffin agento barrysonnenfeld agent j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexpl thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univ that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind. en"
19,19,122917,The Hobbit: The Battle of the Five Armies,"action adventur fantasi corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri bilbobaggin gandalf thorinoakenshield balin dwalin peterjackson immedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands. en"
20,20,1930,The Amazing Spider-Man,"action adventur fantasi lossoffath vigil serum marvelcom scientificexperi spiderbit maskedvigil reboot superpow geneticengin socialoutcast duringcreditsst peterparker/spider-man gwenstaci dr.curtconnors/thelizard captainstaci richardpark marcwebb peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rai by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefca that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a colli cour with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. en"
21,21,20662,Robin Hood,"action adventur robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland robinlongstrid marionloxley sirwalterloxley williammarsh godfrey ridleyscott when soldier robin happen upon the die robert of loxley, he promi to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey. en"
22,22,57158,The Hobbit: The Desolation of Smaug,"adventur fantasi elv dwarv orc hobbit dragon wizard swordandsorceri bilbobaggin gandalf thorinoakenshield balin dwalin peterjackson the dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug. en"
23,23,2268,The Golden Compass,"adventur fantasi england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel lyrabelacqua marisacoult lordasriel leescoresbi serafinapekkala chrisweitz after overhear a shock secret, precoci orphan lyra belacqua trade her carefr exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny. en"
24,24,254,King Kong,"adventur drama action filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur anndarrow carldenham jackdriscol captainenglehorn preston peterjackson in 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady. en"
25,25,597,Titanic,"drama romanc thriller shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiff imax starcrossedlov steerag salvag richsnob 3d 1910 rosedewittbukat jackdawson ruthdewittbukat caledon'cal'hockley mollybrown jamescameron 84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning. en"
26,26,271110,Captain America: Civil War,"adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditsst duringcreditsst marvelcinematicuniv 3d steverogers/captainamerica tonystark/ironman natasharomanoff/blackwidow buckybarnes/wintersoldi samwilson/falcon anthonyrusso joerusso follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, cau two faction to side with iron man or captain america, which cau an epic battl between former allies. en"
27,27,44833,Battleship,"thriller action adventur sciencefict fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditsst mightymo ussmissouri lieutenantalexhopp commanderstonehopp pettyofficercora'weps'raik sam captainyuginagata peterberg when mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him. en"
28,28,135397,Jurassic World,"action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspen disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror owengradi clairedear simonmasrani vichoskin zachmitchel colintrevorrow twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envi by john hammond. en"
29,29,37724,Skyfall,"action adventur thriller spi secretag sociopath killer artgalleri britishsecretserv istanbulturkey imax uzi boobytrap impersonatingapoliceoff macao jamesbond m silva garethmallory/m eve sammend when bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event cau her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromi from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves. en"
30,30,558,Spider-Man 2,"action adventur fantasi dualid loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain peterparker/spider-man maryjanewatson harryosborn dr.ottooctavius/doctoroctopu maypark samraimi peter parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood. en"
31,31,68721,Iron Man 3,"action adventur sciencefict terrorist waronterror tenness malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditsst marvelcinematicuniv mandarin 3d warmachin ironpatriot extremi tonystark/ironman virginia""pepper""pott coloneljames""rhodey""rhod aldrichkillian/themandarin mayahansen shaneblack when toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution. en"
32,32,12155,Alice in Wonderland,"famili fantasi adventur basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d alicekingsleigh themadhatt thewhitequeen theredqueen theknaveofheart timburton alice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne. en"
33,33,36668,X-Men: The Last Stand,"adventur action sciencefict thriller mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditsst logan/wolverin ororomunroe/storm ericlehnsherr/magneto charlesxavier/professorx jeangrey/phoenix brettratn when a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto. en"
34,34,62211,Monsters University,"anim famili monster dormitori game anim bestfriend univ scari aftercreditsst michael""mike""wazowski(voice) jamesp.""sulley""sullivan(voice) randallboggs(voice) deanhardscrabble(voice) youngmike(voice) danscanlon a look at the relationship between mike and sulley dure their day at monster univ — when they weren't necessarili the best of friends. en"
35,35,8373,Transformers: Revenge of the Fallen,"sciencefict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditsst samwitwicki mikaelaban captainlennox collegeprofessor usaftechsergeantepp michaelbay sam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war. en"
36,36,91314,Transformers: Age of Extinction,"sciencefict action adventur sequel alien transform giantrobot robot imax transformingrobot cadeyeag joshua haroldat tessayeag shane michaelbay as human pick up the pieces, follow the conclu of ""transformers: dark of the moon,"" autobot and decepticon have all but vanish from the face of the planet. however, a group of powerful, ingeni businessman and scientist attempt to learn from past transform incur and push the boundari of technolog beyond what they can control - all while an ancient, power transform menac set earth in hi cross-hairs. en"
37,37,68728,Oz: The Great and Powerful,"fantasi adventur famili circu witch magic hope illu lost magictrick wizard 3d oz theodora evanora annie/glinda frank/finley samraimi oscar diggs, a small-tim circu illusionist and con-artist, is whisk from kansa to the land of oz where the inhabit assum he' the great wizard of prophecy, there to save oz from the clutch of evil. en"
38,38,102382,The Amazing Spider-Man 2,"action adventur fantasi obsess marvelcom sequel basedoncomicbook electrocut medicalexperi electr superpow peterparker/spider-man gwenstaci maxdillon/electro harryosborn/greengoblin richardpark marcwebb for peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promi he made to gwen’ father to protect her by stay away, but that is a promi he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past. en"
39,39,20526,TRON: Legacy,"adventur action sciencefict artificialintellig secretid computerprogram dystopia comput decept duel motorcycl neonlight autocraci samflynn kevinflynn/clu quorra alanbradley/tron siren josephkosinski sam flynn, the tech-savvi and dare son of kevin flynn, investig hi father' disappear and is pull into the grid. with the help of a mysteri program name quorra, sam quest to stop evil dictat clu from cross into the real world. en"
40,40,49013,Cars 2,anim famili adventur comedi carrac sequel comedi anthropomorph bestfriend duringcreditsst lightningmcqueen(voice) mater(voice) finnmcmissile(voice) holleyshiftwell(voice) francescobernoulli(voice) johnlasset bradlewi star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage. en
41,41,44912,Green Lantern,"adventur action thriller sciencefict dccomic transform superhero alien alieninfect magicalobject protector superpow origin 3d haljordan/greenlantern carolferri hectorhammond senatorhammond sinestro martincampbel for centuries, a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order. each green lantern wear a ring that grant him superpowers. but when a new enemi call parallax threaten to destroy the balanc of power in the universe, their fate and the fate of earth lie in the hand of the first human ever recruited. en"
42,42,10193,Toy Story 3,"anim famili comedi hostag colleg toy barbi anim escap daycar teddybear duringcreditsst toycomestolif personif inanimateobjectscomingtolif toystori woody(voice) buzzlightyear(voice) lotso(voice) jessietheyodelingcowgirl(voice) ken(voice) leeunkrich woody, buzz, and the rest of andy' toy haven't been play with in years. with andi about to go to college, the gang find themselv accid left at a nefari day care center. the toy must band togeth to escap and return home to andy. en"
43,43,534,Terminator Salvation,"action sciencefict thriller savingtheworld artificialintellig propheci sanfrancisco cyborg killerrobot gasstat post-apocalypt dystopia armi firearm wartim losangel johnconnor marcuswright kylere blairwilliam kateconnor mcg all grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confu the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe. en"
44,44,168259,Furious 7,action carrac speed reveng suspen car race musclecar dominictoretto briano'conn hobb letti roman jameswan deckard shaw seek reveng against domin toretto and hi famili for hi comato brother. en
45,45,72190,World War Z,"action drama horror sciencefict thriller dystopia apocalyp zombi nuclearweapon multipleperspect zombieapocalyp gerrylan karenlan rachellan constancelan captainspek marcforst life for former unit nation investig gerri lane and hi famili seem content. suddenly, the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies. after bare escap the chaos, lane is persuad to go on a mission to investig thi disease. what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls. en"
46,46,127585,X-Men: Days of Future Past,action adventur fantasi sciencefict 1970 mutant timetravel marvelcom basedoncomicbook superhuman storm beast aftercreditsst changingthepastorfutur logan/wolverin charlesxavier/professorx(young) eriklehnsherr/magneto(young) ravendarkholme/mystiqu ororomunroe/storm bryans the ultim x-men ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past – to save our future. en
47,47,54138,Star Trek Into Darkness,"action adventur sciencefict spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d jamest.kirk spock nyotauhura dr.leonard'bones'mccoy montgomery'scotty'scott j.j.abram when the crew of the enterpri is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrif must be made for the onli famili kirk ha left: hi crew. en"
48,48,81005,Jack the Giant Slayer,"action famili fantasi basedonfairyt giant jack princessisabel elmont roderick kingbrahmwel bryans the stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants. unleash on the earth for the first time in centuries, the giant strive to reclaim the land they onc lost, forc the young man, jack into the battl of hi life to stop them. fight for a kingdom, it people, and the love of a brave princess, he come face to face with the unstopp warrior he thought onli exist in legend–and get the chanc to becom a legend himself. en"
49,49,64682,The Great Gatsby,"drama romanc basedonnovel infidel obsess hope 3d jaygatsbi nickcarraway daisybuchanan tombuchanan jordanbak bazluhrmann an adapt of f. scott fitzgerald' long island-set novel, where midwestern nick carraway is lure into the lavish world of hi neighbor, jay gatsby. soon enough, however, carraway will see through the crack of gatsby' nouveau rich existence, where obsession, madness, and tragedi await. en"
50,50,9543,Prince of Persia: The Sands of Time,"adventur fantasi action romanc persia sandstorm brotheragainstbroth armageddon regent basedonvideogam princedastan tamina nizam sheikamar seso mikenewel a rogu princ reluctantli join forc with a mysteri princess and together, they race against dark forc to safeguard an ancient dagger capabl of relea the sand of time – gift from the god that can rever time and allow it possessor to rule the world. en"
51,51,68726,Pacific Rim,"action sciencefict adventur dystopia giantrobot giantmonst apocalyp imax duringcreditsst 3d stackerpentecost raleighbecket dr.newtongeiszl hannibalchau gottlieb guillermodeltoro when legion of monstrou creatures, known as kaiju, start rise from the sea, a war began that would take million of live and consum humanity' resourc for year on end. to combat the giant kaiju, a special type of weapon wa devised: massiv robots, call jaegers, which are control simultan by two pilot whose mind are lock in a neural bridge. but even the jaeger are prove nearli defenseless in the face of the relentless kaiju. on the verg of defeat, the forc defend mankind have no choic but to turn to two unlik heroes—a washed-up former pilot (charli hunnam) and an untest train (rinko kikuchi)—who are team to drive a legendari but seemingli obsolet jaeger from the past. together, they stand as mankind' last hope against the mount apocalypse. en"
52,52,38356,Transformers: Dark of the Moon,"action sciencefict adventur moon spacecraft traitor bodyguard alienplanet basedoncartoon transform giantrobot sabotag worddomin commando duringcreditsst samwitwicki brucebrazo jerrywang nationalintelligencedirector lt.colonelwilliamlennox michaelbay sam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobot-lead optimu prime. the film center around the space race between the ussr and the usa, suggest there wa a hidden transform role in it all that remain one of the planet' most danger secrets. en"
53,53,217,Indiana Jones and the Kingdom of the Crystal Skull,"adventur action savingtheworld riddl whip treasur mexicoc leatherjacket machinegun alienphenomenon mayacivil peru treasurehunt nuclearexplo refrig archaeologist indianajon archeolog indianajon irinaspalko muttwilliam 'mac'georgemich marionravenwood stevenspielberg set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts. en"
54,54,105864,The Good Dinosaur,adventur anim famili tyrannosaurusrex friend alternatehistori dinosaur fear storm natur human journey arlo(voice) spot(voice) poppa(voice) momma(voice) younglibby(voice) petersohn an epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend. en
55,55,62177,Brave,"anim adventur comedi famili action fantasi scotland rebel braveri kingdom archer wish bear scot rebelliousdaught turnsintoanim archeri ruin aftercreditsst peaceoff womandirector courag 3d mérida(voice) thewitch(voice) kingfergus(voice) queenelinor(voice) lordmacguffin/youngmacguffin(voice) brendachapman markandrew stevepurcel brave is set in the mystic scottish highlands, where mérida is the princess of a kingdom rule by king fergu and queen elinor. an unruli daughter and an accomplish archer, mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom. in an attempt to set thing right, mérida seek out an eccentr old wise woman and is grant an ill-fat wish. also figur into mérida’ quest — and serv as comic relief — are the kingdom’ three lords: the enorm lord macguffin, the surli lord macintosh, and the disagr lord dingwall. en"
56,56,188927,Star Trek Beyond,"action adventur sciencefict sequel strand hatr spaceopera jamest.kirk spock dr.leonard'bones'mccoy montgomery'scotty'scott nyotauhura justinlin the uss enterpri crew explor the furthest reach of unchart space, where they encount a mysteri new enemi who put them and everyth the feder stand for to the test. en"
57,57,10681,WALL·E,"anim famili romanticcomedi wall·e/m-o(voice) eve(voice) captain(voice) shelbyforthright,bnlceo john(voice) andrewstanton wall· is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space. for 700 year he ha continu to tri and clean up the mess, but ha develop some rather interest human-lik qualities. when a ship arriv with a sleek new type of robot, wall· think he' final found a friend and stow away on the ship when it leaves. en"
58,58,5174,Rush Hour 3,"action comedi crime thriller ambassador det.jamescart chiefinsp.l kenji vardenreynard georg brettratn after an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chine crimin mastermind name kenji, which reveal that it' lee' long-lost...brother. en"
59,59,14161,2012,"action adventur sciencefict civil naturaldisast endoftheworld disast apocalyp destruct volcanicerupt mayan ark solar destructionofmankind jacksoncurti katecurti adrianhelmsley laurawilson carlanheu rolandemmerich dr. adrian helmsley, part of a worldwid geophi team investig the effect on the earth of radiat from unprec solar storms, learn that the earth' core is heat up. he warn u.s. presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world' population, the entir race is doomed. meanwhile, writer jackson curti stumbl on the same information. while the world' leader race to build ""arks"" to escap the impend cataclysm, curti struggl to find a way to save hi family. meanwhile, volcan erupt and earthquak of unprec strength wreak havoc around the world. en"
60,60,17979,A Christmas Carol,"anim drama holiday basedonnovel victorianengland money christmasev scroog christmascarol ghost lesson charlesdicken christma tinytim,bobcratchit,marley ebenezerscrooge,ghostofchristmaspast,ghostofchristmaspresent,ghostofchristmasyettocom funeraryundertaker/topp undertaker'sapprentice/tatteredcaroler/beggarboy/petercratchit/well-dressedcarol tatteredcarol robertzemecki miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption. en"
61,61,76757,Jupiter Ascending,"sciencefict fantasi action adventur jupit space womandirector 3d interspeciesrom jupiterjon cainewi stingerapini balemabrasax titusabrasax lillywachowski lanawachowski in a univ where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty… en"
62,62,258489,The Legend of Tarzan,"action adventur africa feralchild tarzan jungl animalattack johnclayton/tarzan janeport captainleonrom georgewashingtonwilliam chiefmbonga davidi tarzan, have acclim to life in london, is call back to hi former home in the jungl to investig the activ at a mine encampment. en"
